age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
88,retired,single,secondary,no,19793,yes,no,unknown,4,nov,3174,16,170,15,unknown,yes
50,retired,married,primary,no,13380,yes,yes,telephone,14,sep,3507,16,93,3,unknown,yes
48,student,single,secondary,no,15330,yes,no,cellular,5,feb,860,3,62,17,unknown,no
72,student,single,secondary,no,17592,yes,no,unknown,31,jan,1294,25,364,25,unknown,no
29,unemployed,married,secondary,no,1440,no,no,unknown,4,jul,1130,18,67,6,unknown,no
28,admin.,married,tertiary,no,-455,no,no,unknown,6,may,1095,39,140,22,unknown,no
89,blue-collar,divorced,primary,no,10844,yes,yes,telephone,18,may,3772,42,133,26,unknown,no
49,student,married,secondary,no,17891,no,no,cellular,21,feb,3092,40,145,18,success,no
74,technician,single,secondary,no,-1971,yes,no,unknown,13,jun,1638,32,373,13,unknown,no
55,entrepreneur,single,tertiary,no,7663,yes,no,telephone,6,may,2169,49,263,14,failure,no
77,management,divorced,secondary,no,15793,no,no,cellular,15,may,466,3,168,20,unknown,no
36,retired,single,primary,no,1679,no,no,unknown,5,jun,1238,8,316,5,unknown,no
73,retired,married,primary,no,12764,no,no,telephone,6,feb,330,5,212,9,unknown,no
31,retired,divorced,secondary,no,19531,no,no,cellular,24,may,1482,20,55,24,unknown,no
50,technician,single,secondary,no,-1875,yes,yes,cellular,18,nov,2135,44,121,2,other,no
27,retired,single,secondary,no,2908,yes,no,unknown,29,jan,3444,25,351,12,unknown,no
81,services,married,tertiary,no,4642,no,yes,cellular,7,aug,3171,6,385,18,unknown,no
81,management,married,secondary,no,17642,yes,no,cellular,30,jan,2919,28,233,20,unknown,no
79,technician,single,secondary,no,6845,yes,no,cellular,6,jul,3735,23,360,17,unknown,yes
85,management,married,tertiary,no,11648,yes,no,unknown,26,jun,130,24,159,2,failure,no
60,housemaid,married,secondary,no,6932,no,no,cellular,8,aug,1685,10,122,21,unknown,no
76,self-employed,married,primary,no,16645,no,yes,unknown,25,may,3380,10,21,2,unknown,no
69,student,married,secondary,no,5953,yes,no,cellular,30,nov,769,33,217,16,unknown,no
36,services,married,tertiary,no,9183,no,no,telephone,24,jun,2391,9,40,22,unknown,no
38,admin.,married,tertiary,no,8769,no,no,cellular,30,apr,1515,18,364,6,unknown,no
39,admin.,married,primary,no,8931,yes,no,cellular,5,oct,3485,3,393,1,unknown,no
26,blue-collar,single,secondary,no,16077,yes,no,cellular,4,oct,2853,33,44,4,unknown,no
26,services,married,tertiary,no,3887,no,no,unknown,19,jan,2433,10,260,8,unknown,no
90,management,married,secondary,no,19028,yes,no,cellular,10,nov,1215,27,11,28,failure,no
44,admin.,married,tertiary,no,821,no,no,cellular,9,jul,955,35,232,2,unknown,no
34,self-employed,married,secondary,no,18046,no,no,cellular,23,feb,2324,18,232,7,unknown,no
61,admin.,single,tertiary,no,12754,yes,no,cellular,1,jan,1184,7,287,3,unknown,no
62,retired,single,tertiary,no,14025,no,yes,cellular,19,jan,459,7,375,2,unknown,no
25,blue-collar,married,secondary,no,14218,yes,no,unknown,29,jan,3385,22,273,17,unknown,no
35,technician,married,secondary,no,9421,yes,no,cellular,31,feb,21,10,201,29,unknown,no
50,entrepreneur,single,primary,no,19578,no,no,unknown,12,dec,2300,27,319,14,unknown,no
18,entrepreneur,married,secondary,no,-605,no,no,cellular,19,jan,747,45,86,28,unknown,no
93,admin.,married,secondary,no,17351,no,yes,unknown,13,apr,2904,4,384,24,unknown,no
23,management,married,secondary,no,1961,yes,no,cellular,22,dec,3632,12,372,10,unknown,no
58,management,married,secondary,no,614,no,no,unknown,15,oct,474,3,180,4,unknown,no
72,retired,married,secondary,no,13053,yes,no,telephone,29,oct,1082,48,169,24,unknown,no
22,admin.,married,tertiary,no,15928,yes,yes,cellular,2,nov,2558,43,228,15,unknown,no
76,admin.,married,secondary,no,3225,yes,yes,cellular,20,jul,3753,3,81,23,unknown,no
35,entrepreneur,married,tertiary,no,10093,no,no,unknown,12,oct,2047,25,349,18,unknown,no
66,housemaid,married,primary,no,12702,yes,yes,cellular,18,mar,3547,26,210,3,unknown,no
82,admin.,married,secondary,no,10689,yes,no,cellular,21,sep,2747,40,165,27,unknown,no
71,technician,married,secondary,no,5986,yes,no,cellular,29,feb,975,7,27,21,unknown,no
78,blue-collar,married,secondary,no,19266,no,yes,unknown,31,feb,1806,46,21,10,unknown,no
25,blue-collar,married,secondary,no,12660,yes,no,unknown,4,jul,189,34,301,25,failure,no
20,technician,single,secondary,no,10660,no,no,cellular,20,sep,3005,10,293,11,unknown,yes
42,housemaid,single,tertiary,no,18817,yes,no,cellular,12,jun,2734,3,31,4,unknown,yes
86,management,married,secondary,no,5034,no,yes,unknown,20,nov,3005,28,310,9,unknown,no
72,entrepreneur,married,tertiary,no,7637,no,no,unknown,13,jan,562,11,344,9,unknown,no
57,blue-collar,single,secondary,no,11580,yes,no,cellular,4,jun,1899,32,367,18,unknown,no
67,student,married,secondary,no,8160,yes,no,cellular,14,apr,3638,8,136,4,unknown,no
50,student,married,secondary,no,15480,yes,no,cellular,21,may,1267,20,292,4,unknown,no
35,services,single,tertiary,no,-796,no,no,cellular,18,apr,2879,5,64,24,failure,no
74,self-employed,divorced,secondary,no,8112,yes,no,unknown,6,mar,1528,41,348,3,unknown,yes
33,entrepreneur,married,tertiary,no,1583,yes,yes,unknown,1,feb,3202,13,78,23,unknown,yes
55,housemaid,married,primary,no,14256,yes,no,cellular,10,feb,3556,11,315,3,failure,no
58,services,divorced,secondary,no,9331,yes,no,unknown,18,oct,3890,34,254,25,unknown,no
24,admin.,married,secondary,no,5539,no,no,unknown,19,nov,646,44,340,1,failure,no
70,technician,single,secondary,no,9611,yes,no,cellular,2,apr,2068,3,62,2,unknown,no
80,student,married,secondary,no,38,no,no,cellular,15,mar,2888,15,75,28,success,no
49,admin.,married,secondary,no,6223,no,yes,cellular,3,nov,2214,33,281,3,unknown,no
55,student,married,secondary,no,8160,yes,no,cellular,8,dec,1297,43,300,7,unknown,no
39,retired,divorced,secondary,no,17358,no,no,cellular,19,jun,2435,10,350,8,unknown,no
33,unemployed,divorced,secondary,no,9522,yes,no,cellular,11,oct,600,3,34,27,unknown,no
69,technician,married,secondary,yes,1568,no,no,unknown,14,mar,2363,46,77,27,unknown,no
46,services,single,secondary,no,9314,yes,no,unknown,16,mar,2061,48,374,21,unknown,no
33,self-employed,married,secondary,no,6298,no,yes,cellular,10,apr,241,41,262,29,unknown,no
93,unemployed,single,tertiary,no,18177,yes,no,cellular,17,may,2041,14,52,7,unknown,no
34,retired,single,tertiary,no,-1799,no,yes,cellular,15,nov,2824,33,296,11,unknown,no
81,management,married,secondary,no,5956,no,no,unknown,30,sep,3417,33,3,9,unknown,no
30,retired,married,secondary,no,5385,yes,no,telephone,11,nov,2612,36,1,4,success,no
89,unemployed,divorced,secondary,no,4007,yes,no,telephone,8,may,2945,23,290,4,unknown,no
73,blue-collar,divorced,tertiary,no,-206,no,yes,unknown,8,jan,1363,1,360,23,success,no
22,entrepreneur,married,tertiary,no,-592,yes,no,cellular,7,sep,2139,27,140,14,unknown,no
29,housemaid,married,primary,no,-1084,no,no,cellular,20,feb,1390,32,114,19,unknown,no
58,admin.,divorced,tertiary,no,18815,no,no,cellular,12,apr,3003,21,114,28,unknown,no
20,management,married,primary,no,5778,no,no,cellular,21,oct,1478,44,262,2,unknown,yes
50,housemaid,married,secondary,no,7876,yes,no,cellular,28,jun,3499,20,123,25,unknown,no
67,retired,married,tertiary,no,12440,yes,no,cellular,28,sep,2556,27,249,1,unknown,no
73,self-employed,divorced,tertiary,no,4346,no,no,cellular,27,feb,775,36,294,14,unknown,no
26,admin.,married,tertiary,no,13869,yes,no,telephone,30,sep,34,41,366,12,success,yes
67,management,married,secondary,no,1166,yes,no,cellular,16,sep,2253,32,90,27,unknown,no
46,housemaid,married,secondary,no,5344,yes,no,cellular,16,jan,3152,39,48,23,unknown,no
56,admin.,divorced,tertiary,no,14448,no,no,cellular,10,dec,1955,29,386,11,unknown,no
62,admin.,single,secondary,no,19032,yes,no,cellular,22,dec,1585,46,272,13,unknown,no
34,management,single,secondary,no,18703,no,no,cellular,22,nov,3943,23,152,11,unknown,yes
73,services,married,secondary,no,1650,yes,no,cellular,7,jun,3459,35,381,14,unknown,no
63,entrepreneur,divorced,tertiary,no,12715,yes,no,unknown,4,dec,3073,15,221,20,unknown,no
